city,country,2017,2018,2019,2020,2021,2022,2023
Curico,Chile,23.0,16.8,25.8,19.0,19.0,17.1,17.6
Huasco,Chile,12.3,11.5,10.3,10.3,11.5,9.3,9.3
La Serena,Chile,13.9,14.5,13.6,10.2,11.4,14.3,14.3
Linares,Chile,27.1,25.5,27.6,18.7,17.9,17.5,18.5
Los Angeles,Chile,24.1,21.6,21.7,17.0,17.3,16.0,16.1
Osorno,Chile,30.8,38.2,32.8,19.2,17.9,17.1,18.7
Padre las Casas,Chile,38.8,43.3,32.5,28.6,37.2,33.8,33.7
Puchuncavi,Chile,13.7,14.8,15.9,14.0,15.4,15.2,15.2
Puerto Montt,Chile,29.6,22.6,26.4,18.9,16.6,17.9,18.2
Punta Arenas,Chile,5.5,4.5,4.7,4.7,4.3,4.0,4.0
Rancagua,Chile,23.3,22.9,26.9,23.8,25.4,25.4,25.4
Rengo,Chile,16.3,18.9,24.1,18.8,16.8,18.8,19.1
San Fernando,Chile,18.1,15.3,21.0,17.7,21.5,20.5,20.7
Santiago,Chile,23.1,29.4,27.7,23.6,25.8,25.8,25.8
Talca,Chile,14.3,13.7,17.6,14.6,17.2,15.9,15.9
Talcahuano,Chile,21.3,15.7,21.4,19.0,20.1,19.6,19.5
Temuco,Chile,28.7,30.4,20.2,20.6,32.7,26.3,26.2
Tome,Chile,14.8,20.9,15.7,11.5,13.8,13.2,13.3
Valdivia,Chile,33.5,33.3,14.5,13.5,12.7,14.9,14.8
Valparaiso,Chile,13.8,13.4,14.4,12.9,14.2,17.7,17.6
Vina del Mar,Chile,9.6,11.9,13.8,12.1,14.3,16.2,16.1
Aba,China,9.1,11.3,14.7,14.3,15.0,11.8,11.8
Aksu,China,69.8,74.1,54.0,58.4,51.2,55.5,55.5
Altay,China,12.6,9.3,9.9,11.1,9.9,8.5,8.5
Alxa League,China,33.9,35.4,25.9,24.9,28.2,25.6,25.5
Ankang,China,38.0,36.3,34.0,25.6,23.6,24.4,24.4
Anqing,China,56.6,45.4,45.5,34.9,32.7,34.2,33.8
Anshan,China,43.8,34.9,39.2,40.7,36.2,30.0,30.0
Anshun,China,23.6,26.0,22.5,21.6,23.6,21.3,21.3
Anyang,China,81.1,72.9,70.3,61.5,50.8,51.0,50.9
Baicheng,China,31.6,28.3,26.5,24.2,24.0,21.1,21.2
Baise,China,42.3,35.7,29.3,27.4,29.4,28.2,28.2
Baishan,China,44.1,31.5,29.8,27.7,25.8,23.1,23.2
Baiyin,China,37.3,37.7,31.1,28.7,31.8,29.2,29.1
Baoding,China,92.7,70.7,57.7,52.2,45.4,42.4,42.4
Baoji,China,54.8,49.9,49.8,43.8,38.0,42.2,42.4
Baoshan,China,24.4,21.7,20.5,19.0,24.3,13.0,13.0
Baotou,China,43.3,36.8,36.1,41.4,35.1,27.0,26.9
Bayan Nur,China,34.2,33.5,32.2,34.2,27.1,30.4,30.3
Bazhong,China,32.0,30.8,30.3,26.8,27.3,26.9,26.9
Beihai,China,28.5,27.6,26.9,23.1,24.5,23.1,23.0
Beijing,China,58.8,50.9,42.1,37.5,34.4,29.8,29.8
Bengbu,China,59.3,52.8,51.3,44.5,39.3,38.0,38.0
Benxi,China,38.3,31.6,35.1,33.8,28.8,28.1,28.2
Bijie,China,32.7,32.0,26.4,24.0,24.1,23.3,23.3
Binzhou,China,66.8,55.8,53.6,49.0,42.6,38.9,39.0
Bortala,China,32.6,27.9,22.7,22.3,22.8,26.1,26.2
Bozhou,China,63.3,57.5,54.0,48.3,39.5,41.2,41.2
Cangzhou,China,88.7,65.2,53.0,52.0,42.1,35.7,35.7
Changchun,China,44.5,32.2,36.7,40.4,31.2,28.0,28.1
Changde,China,51.5,42.3,47.5,40.7,40.0,39.0,39.2
Changji,China,57.6,55.0,48.2,53.5,49.8,51.5,52.1
Changsha,China,51.4,45.8,46.8,41.0,43.0,37.1,37.1
Changzhi,China,62.3,53.2,47.5,45.5,39.2,37.9,37.8
Changzhou,China,46.8,50.3,44.7,38.7,36.0,33.1,33.1
Changzhou Qu,China,45.4,40.9,33.4,30.5,30.1,29.1,29.1
Chaoyang,China,40.6,38.2,36.0,35.6,31.8,26.4,26.4
Chaozhou,China,29.9,28.3,28.5,24.3,23.7,20.6,20.5
Chengde,China,55.0,39.6,30.0,28.6,29.4,23.2,23.2
Chengdu,China,55.4,48.8,42.4,40.5,40.3,38.3,38.3
Chenzhou,China,36.5,28.9,30.2,27.9,27.3,24.6,24.7
Chifeng,China,31.3,28.4,21.7,19.8,18.5,15.4,15.4
Chizhou,China,60.4,43.7,42.4,33.6,30.6,32.8,32.8
Chongqing,China,43.9,37.3,37.1,31.7,31.0,26.0,26.0
Chongzuo,China,32.1,30.8,29.1,25.6,30.4,25.0,25.0
Chuxiong,China,22.5,24.3,20.9,17.8,20.8,18.3,18.2
Chuzhou,China,55.2,49.7,48.4,39.3,33.8,30.8,30.8
Da hinggan Ling,China,17.8,17.8,19.9,14.3,14.0,12.6,12.7
Dali,China,23.3,16.0,16.8,15.6,17.1,12.5,12.5
Dalian,China,32.9,29.3,34.3,30.2,27.7,23.6,23.6
Dandong,China,34.6,29.1,32.0,28.7,27.9,23.2,23.3
Daqing,China,32.8,26.5,27.2,26.6,24.9,23.9,24.0
Datong,China,38.4,36.6,32.3,31.2,35.1,32.25,32.25
Dazhou,China,48.6,44.7,45.3,37.6,37.4,30.2,30.2
Dehong,China,29.7,33.7,23.2,19.1,25.7,23.5,23.6
Deyang,China,51.2,41.1,39.9,37.1,37.7,35.0,35.0
Dezhou,China,68.5,54.8,53.4,50.1,44.1,40.7,40.7
