city,country,2017,2018,2019,2020,2021,2022,2023
Linxia,China,45.8,45.8,30.8,29.0,30.7,29.7,29.7
Linyi,China,56.4,50.2,57.7,48.4,44.7,39.1,39.2
Lishui,China,32.2,26.8,24.4,21.1,18.1,17.0,17.0
Liupanshui,China,38.9,32.3,23.4,21.1,24.1,22.3,22.3
Liuzhou,China,43.6,39.4,34.4,28.9,31.3,29.3,29.2
Longnan,China,28.8,29.6,18.6,15.9,15.6,20.3,20.2
Longyan,China,24.4,25.3,22.9,18.9,19.3,14.4,14.3
Loudi,China,38.6,30.6,38.2,32.1,34.8,34.0,34.1
Luan,China,46.7,44.9,41.9,37.0,32.6,33.6,33.6
Luohe,China,63.7,62.6,60.0,55.4,49.7,51.2,51.2
Luoyang,China,72.5,59.9,62.4,50.7,29.95,31.2,31.2
Luzhou,China,51.4,37.0,40.8,37.3,38.3,36.1,36.1
Lvliang,China,55.2,50.7,40.1,36.0,32.6,26.8,26.8
Maanshan,China,48.4,43.8,42.3,35.8,34.6,33.8,33.8
Maoming,China,29.7,25.7,25.0,20.7,21.6,19.2,19.1
Meishan,China,47.1,36.2,35.2,31.4,33.0,35.8,35.7
Meizhou,China,28.9,27.6,24.3,21.3,19.3,16.2,16.1
Mianyang,China,48.5,45.3,37.8,34.2,35.8,34.5,34.5
Mudanjiang,China,34.7,28.6,31.7,29.6,28.4,22.9,23.2
Nagqu,China,43.0,32.9,18.4,15.6,15.7,14.0,14.0
Nanchang,China,40.9,28.4,34.9,32.5,30.7,29.4,29.4
Nanchong,China,45.2,45.3,42.3,36.6,37.1,35.2,35.1
Nanjing,China,40.5,43.0,40.5,31.1,29.0,27.7,27.7
Nanning,China,34.4,32.4,30.2,26.0,28.1,25.3,25.3
Nanping,China,22.9,22.0,20.0,18.5,19.5,16.9,16.8
Nantong,China,38.5,40.5,37.7,33.5,30.6,25.4,25.4
Nanyang,China,57.1,60.6,60.0,51.4,47.1,47.2,46.8
Neijiang,China,47.6,36.8,35.2,34.1,35.9,31.7,31.6
Ngari,China,13.0,14.1,6.9,6.2,7.2,5.6,5.6
Ningbo,China,36.1,31.4,28.4,22.7,21.0,22.2,22.3
Ningde,China,26.3,24.4,23.6,21.5,19.6,15.3,15.3
Nujiang,China,19.7,24.4,24.9,22.5,25.4,20.1,19.8
Nyingchi,China,11.8,7.8,8.1,7.3,8.5,5.7,5.7
Ordos,China,25.3,25.7,23.4,24.5,27.1,21.3,21.2
Panjin,China,39.4,36.1,38.7,34.0,33.1,28.9,29.0
Panzhihua,China,32.7,33.1,29.1,28.8,30.5,26.5,26.4
Pingdingshan,China,67.3,65.1,60.1,51.2,47.1,49.4,49.4
Pingliang,China,31.8,36.9,24.8,21.8,19.6,29.2,29.2
Pingxiang,China,49.1,40.7,36.9,30.6,32.1,26.4,26.4
Putian,China,26.2,25.6,23.9,20.7,20.4,17.8,17.8
Puyang,China,68.8,63.5,63.4,59.3,37.05,37.5,36.0
Qamdo,China,18.0,17.5,11.6,11.1,9.1,8.8,8.9
Qiandongnan,China,30.6,27.6,25.8,23.8,22.5,20.8,20.8
Qiannan,China,24.3,22.5,19.2,17.6,18.1,16.7,16.7
Qianxinan,China,16.0,14.9,20.2,18.7,20.8,17.1,17.2
Qingdao,China,38.4,34.3,39.4,31.8,29.7,25.2,25.2
Qingyang,China,35.0,33.1,31.0,29.1,24.15,26.9,26.95
Qingyuan,China,29.8,32.6,29.9,26.4,23.0,20.5,20.4
Qinhuangdao,China,50.0,43.9,43.6,37.4,36.0,27.8,27.9
Qiqihar,China,35.6,26.2,27.2,26.9,20.0,20.8,21.0
Qitaihe,China,42.4,29.4,30.5,25.6,24.8,24.6,24.7
Qoqek,China,16.3,12.1,10.0,12.2,12.5,13.9,13.9
Quanzhou,China,26.2,25.1,24.5,20.0,20.6,17.8,17.8
Qujing,China,28.2,28.0,21.0,20.2,22.2,21.2,21.2
Quzhou,China,41.5,32.4,31.8,25.0,22.2,23.5,23.5
Rizhao,China,46.8,41.6,46.2,37.5,32.7,29.2,29.2
Sanmenxia,China,60.7,57.5,56.1,47.5,42.7,45.4,45.4
Sanming,China,25.9,24.7,23.6,21.6,20.6,14.3,14.3
Sanya,China,14.9,14.3,13.7,11.2,12.0,10.8,10.7
Shanghai,China,38.9,36.0,35.4,31.5,27.7,25.4,25.4
Shangluo,China,35.5,36.3,32.3,28.2,24.9,27.1,27.3
Shangqiu,China,61.8,61.9,72.6,52.7,45.8,46.4,46.4
Shangrao,China,43.5,33.9,31.4,27.6,26.4,23.5,23.5
Shannan,China,12.0,10.0,9.6,8.7,8.9,8.5,8.5
Shantou,China,27.7,24.7,22.4,18.4,19.2,16.6,16.5
Shanwei,China,26.3,22.2,21.3,17.5,18.2,15.3,15.3
Shaoguan,China,37.2,34.5,28.3,24.0,24.8,22.1,22.0
Shaoxing,China,44.3,40.5,38.1,28.5,27.7,30.0,30.1
Shaoyang,China,51.6,44.0,42.1,37.3,36.9,32.5,32.7
Shenyang,China,48.0,39.3,41.6,40.8,37.0,31.4,31.4
Shenzhen,China,27.1,24.2,23.4,19.0,17.9,15.7,15.7
Shigatse,China,12.5,14.6,10.7,9.0,9.3,9.0,9.0
Shihezi,China,60.6,61.3,63.3,57.5,55.7,57.3,57.9
Shijiazhuang,China,98.8,76.7,64.0,57.6,46.5,43.8,43.8
Shiyan,China,42.0,40.2,36.5,30.5,28.3,30.1,30.2
Shizuishan,China,45.5,40.4,34.5,36.1,35.7,33.6,33.5
Shuangyashan,China,38.9,26.6,28.5,25.8,25.3,23.6,23.8
Shuozhou,China,49.1,41.8,38.8,38.6,35.0,31.8,31.8
Siping,China,46.7,38.8,35.7,32.5,27.6,26.7,26.8
Songyuan,China,35.6,27.9,29.7,26.1,22.5,24.5,24.6
Suihua,China,35.4,35.4,37.1,39.1,32.7,36.4,36.9
Suining,China,38.7,35.3,31.0,28.4,30.0,29.6,29.6
Suizhou,China,50.5,44.0,41.9,37.0,36.9,35.0,34.9
Suqian,China,56.9,53.1,47.9,45.9,39.2,37.8,37.8
Suzhou,China,56.0,48.95,45.150000000000006,39.65,35.3,34.3,34.3
Taian,China,57.5,51.7,57.6,51.2,44.1,39.2,39.2
Taiyuan,China,63.7,55.9,53.4,52.1,46.3,43.9,43.8
Taizhou,China,41.8,38.0,35.75,30.55,27.45,26.1,26.1
Tangshan,China,84.7,63.5,52.6,46.8,43.2,33.1,33.1
Tianjin,China,63.2,52.3,51.3,48.9,39.9,36.2,36.3
Tianshui,China,36.5,37.3,27.0,22.7,20.8,26.4,26.5
Tieling,China,48.4,38.2,40.0,38.4,33.8,30.6,30.7
Tongchuan,China,50.5,46.3,44.6,38.6,34.0,36.3,36.4
Tonghua,China,35.2,28.4,29.4,27.3,24.0,21.9,22.0
Tongliao,China,34.3,31.9,32.3,28.8,23.5,26.5,26.4
Tongling,China,57.2,47.1,47.3,34.9,34.1,33.5,33.5
Tongren,China,23.0,22.3,31.0,25.5,23.4,22.0,22.0
Turpan,China,66.1,56.1,56.3,49.5,49.6,47.3,47.2
Ulanqab,China,26.6,25.5,24.6,20.3,20.6,21.2,21.1
Urumqi,China,76.0,59.2,54.5,51.2,45.4,43.3,43.8
Weifang,China,56.9,52.6,56.2,49.9,40.2,34.6,34.6
Weihai,China,28.6,26.6,31.4,26.0,25.3,21.1,21.2
Weinan,China,68.8,58.2,55.6,52.5,45.3,51.0,51.2
Wendeng,China,26.4,23.5,23.8,21.5,22.0,21.6,21.7
Wenshan,China,22.7,25.6,26.2,23.8,24.0,22.4,22.4
Wenzhou,China,36.8,29.5,27.8,24.8,22.5,20.8,20.8
Wuhai,China,43.7,40.5,31.3,33.7,30.4,30.2,30.2
Wuhan,China,51.0,46.9,44.4,36.5,46.7,45.9,46.0
Wuhu,China,48.2,48.8,44.4,35.9,34.0,34.4,34.5
Wujiaqu,China,74.1,67.8,53.9,40.6,41.7,53.3,53.8
Wuwei,China,43.8,42.2,33.1,37.6,40.2,37.9,37.8
Wuxi,China,45.1,42.8,39.9,34.0,32.6,27.85,27.9
Wuzhong,China,42.9,37.9,31.1,33.9,36.5,34.6,34.6
Wuzhou,China,39.2,34.5,28.7,25.2,25.5,26.5,26.4
Xiamen,China,25.8,23.5,23.8,17.9,19.9,17.2,17.2
Xian,China,70.2,59.9,56.6,49.3,41.1,48.6,48.8
Xiangtan,China,50.3,46.6,46.8,38.2,42.3,36.9,37.1
Xiangxi,China,35.4,32.6,28.8,23.4,22.6,23.2,23.3
Xiangyang,China,64.4,60.5,60.4,52.5,50.6,50.2,50.2
Xianning,China,46.5,36.7,35.1,29.1,26.8,27.0,27.0
Xianyang,China,77.8,67.8,63.7,50.5,45.7,50.8,50.9
Xiaogan,China,49.4,43.9,43.9,35.9,33.9,41.1,41.2
Xilin Gol,China,15.1,16.1,10.1,9.8,11.1,7.3,7.3
Xingbin Qu,China,48.1,39.5,35.2,30.4,34.0,30.1,30.1
Xingtai,China,103.7,76.7,63.5,55.9,44.0,43.0,43.0
Xining,China,38.0,41.7,33.3,33.0,32.2,29.3,29.4
Xinxiang,China,66.4,61.4,55.7,51.5,47.3,50.0,50.0
Xinyang,China,53.6,53.8,47.8,40.7,39.1,40.7,40.1
Xinyu,China,47.6,37.7,35.1,29.9,30.8,27.2,27.3
Xinzhou,China,62.6,51.4,41.7,44.4,44.9,36.9,36.9
Xishuangbanna,China,25.2,24.8,31.6,30.0,23.2,16.7,16.4
Xuancheng,China,49.1,43.2,41.7,32.7,30.2,32.0,31.7
Xuchang,China,63.2,64.2,60.6,53.6,45.1,46.9,46.9
Xuzhou,China,67.4,65.5,57.4,49.7,47.8,40.1,40.1
Ya'an,China,49.2,40.7,32.3,26.6,28.3,29.3,29.2
Yanan,China,39.2,35.0,31.3,29.5,28.7,26.8,26.9
Yanbian,China,29.1,25.7,24.5,19.7,19.8,16.8,16.9
Yancheng,China,43.8,43.2,40.5,32.5,28.9,26.4,26.4
Yangjiang,China,32.9,30.6,28.6,21.3,21.6,21.5,21.4
Yangquan,China,63.6,59.0,50.6,46.3,45.9,42.0,41.9
Yangzhou,China,54.1,48.2,43.0,35.6,34.2,32.1,32.1
Yantai,China,34.3,29.3,37.5,31.8,28.0,23.3,23.3
Yibin,China,55.4,49.3,45.9,38.8,43.3,41.7,41.7
Yichang,China,57.4,52.1,52.5,40.8,40.0,38.0,38.0
Yichun,China,36.15,29.200000000000003,27.15,24.4,24.3,22.9,23.0
Yinchuan,China,46.3,39.3,31.0,34.5,29.9,31.1,31.1
Yingkou,China,41.6,38.4,41.2,40.2,35.0,28.9,28.9
Yingtan,China,39.6,34.0,35.9,31.5,24.8,23.5,23.4
Yiwu,China,38.3,33.7,34.0,27.0,25.9,28.0,27.3
Yiyang,China,39.1,33.3,49.8,40.0,34.4,37.1,37.2
Yongzhou,China,43.7,46.1,38.4,32.9,32.9,32.1,32.3
Yueyang,China,47.9,43.4,42.6,36.6,35.7,33.6,33.8
Yulin,China,36.05,35.400000000000006,32.8,30.15,30.200000000000003,26.45,26.45
Yuncheng,China,71.9,59.8,61.2,57.7,48.4,50.2,50.3
Yunfu,China,36.0,31.2,28.0,20.9,22.4,20.4,20.4
Yushu,China,19.0,15.9,9.7,10.9,13.0,12.8,12.8
Yuxi,China,18.3,21.8,23.1,19.5,20.9,18.0,18.1
Zaozhuang,China,62.0,57.6,59.6,54.8,44.8,40.9,40.9
Zhangjiajie,China,38.7,29.6,28.7,22.6,24.4,25.8,26.0
Zhangjiakou,China,56.7,36.3,26.1,24.3,23.2,16.9,16.9
Zhangqiu,China,66.7,49.2,50.1,49.1,42.4,38.4,38.5
Zhangye,China,28.8,36.9,31.8,34.3,31.7,30.0,30.0
Zhangzhou,China,34.4,30.0,30.3,21.6,23.5,19.0,19.0
Zhanjiang,China,28.4,25.4,25.4,21.2,22.9,20.6,20.6
Zhaoqing,China,38.9,36.5,31.4,23.2,22.3,21.4,21.3
Zhaotong,China,31.2,20.8,19.0,20.2,22.3,20.1,20.0
Zhengzhou,China,70.0,64.1,58.4,50.9,43.4,45.8,45.9
Zhenjiang,China,53.9,53.2,45.0,37.7,37.7,35.1,35.1
Zhongshan,China,32.2,28.4,26.4,19.4,20.1,18.5,18.4
Zhongwei,China,36.6,36.9,31.5,33.3,37.1,34.8,34.8
Zhoukou,China,59.9,58.9,56.6,50.3,44.8,44.9,43.8
Zhoushan,China,23.9,21.3,19.8,16.4,14.7,14.4,14.4
Zhuhai,China,28.8,26.1,24.0,18.3,19.0,16.7,16.7
Zhumadian,China,57.9,60.4,52.1,45.9,42.9,44.0,43.4
Zhushan Qu,China,43.4,30.1,28.2,27.1,23.8,20.3,20.2
Zhuzhou,China,50.2,42.3,46.3,36.7,39.0,34.2,34.4
Zibo,China,63.1,55.9,57.7,53.9,49.2,42.7,42.7
Zigong,China,69.3,56.8,47.5,45.1,44.4,38.8,38.7
Ziyang,China,27.7,38.3,33.5,29.5,28.2,31.3,31.3
Zunyi,China,32.8,26.8,20.4,17.8,22.5,21.6,21.6
Bogota,Colombia,15.7,13.9,13.1,14.3,13.7,15.1,15.1
Ayia Marina,Cyprus,10.9,12.9,10.3,9.5,10.1,11.2,11.2
Larnaca,Cyprus,17.8,18.1,19.9,15.9,14.3,15.7,15.9
Nicosia,Cyprus,17.9,17.4,19.2,15.5,14.8,16.4,16.4
Zygi,Cyprus,15.4,14.3,14.4,12.5,12.8,11.9,11.9
Beroun,Czech Republic,18.8,22.5,15.6,14.0,15.3,14.2,14.2
Brno,Czech Republic,18.8,20.4,15.7,13.5,15.4,13.9,13.9
Budejovice,Czech Republic,17.1,16.9,12.7,11.0,10.7,11.1,11.1
Chystovice,Czech Republic,11.8,14.5,10.1,9.1,8.8,9.3,9.3
Decin,Czech Republic,23.0,23.1,17.8,16.4,17.1,16.0,16.0
Dolni Lutyne,Czech Republic,32.3,35.8,27.7,20.9,22.8,20.7,20.3
Frydek-Mistek,Czech Republic,25.0,26.9,17.6,16.2,17.8,17.2,17.2
Havirov,Czech Republic,26.7,28.8,20.3,18.0,19.6,18.3,18.3
Hradec Kralove,Czech Republic,19.0,19.7,14.8,13.7,14.5,13.3,13.2
Jihlava,Czech Republic,14.2,16.9,13.3,12.0,12.2,9.9,10.0
Kadan,Czech Republic,14.8,18.8,12.8,11.2,11.9,11.5,11.5
Kamenny Ujezd,Czech Republic,16.9,16.4,12.0,11.5,10.6,11.6,11.5
Karvina,Czech Republic,24.6,27.1,22.1,18.3,33.0,19.2,18.6
Kladno,Czech Republic,18.0,19.0,12.2,12.3,12.0,13.1,13.0
Kromeriz,Czech Republic,18.5,20.8,14.3,12.0,13.2,11.6,11.6
Liberec,Czech Republic,15.8,18.4,12.5,11.6,11.4,11.7,11.7
Marianske Radcice,Czech Republic,18.7,20.5,15.5,14.9,14.5,13.3,13.3
Mlada Boleslav,Czech Republic,15.9,19.1,15.6,13.0,13.4,13.1,13.1
Moravska Trebova,Czech Republic,18.9,23.0,18.9,16.2,17.0,15.8,15.7
Most,Czech Republic,18.3,21.7,15.1,13.8,14.1,12.9,12.9
Olomouc,Czech Republic,20.4,19.0,16.1,15.8,17.7,14.6,14.5
Opava,Czech Republic,22.7,24.5,16.9,14.9,15.8,15.2,15.1
Ostrava,Czech Republic,27.8,30.1,20.9,16.8,19.6,18.7,18.6
Pardubice,Czech Republic,18.3,19.4,14.7,12.5,13.8,12.8,12.7
Prague,Czech Republic,15.6,17.4,11.5,10.9,11.3,11.9,11.9
Prerov,Czech Republic,24.4,22.9,17.9,15.5,16.2,15.5,15.5
Rozdalovice,Czech Republic,18.6,19.2,13.0,13.6,13.4,12.7,12.7
Sedlec,Czech Republic,16.2,18.6,12.6,10.3,10.5,10.5,10.5
Sokolov,Czech Republic,13.1,15.1,9.4,8.9,8.6,9.0,9.0
Studenka,Czech Republic,24.3,25.4,18.0,16.2,17.2,15.8,15.7
Teplice,Czech Republic,18.8,19.1,14.2,13.4,13.3,13.3,13.3
Tesin,Czech Republic,27.2,29.6,20.0,17.9,19.5,17.6,17.6
Trinec,Czech Republic,26.7,26.5,18.2,15.1,18.2,17.5,17.4
Usti nad Labem,Czech Republic,17.0,18.3,14.1,12.0,12.9,13.8,13.7
Valasske Mezirici,Czech Republic,24.9,24.8,17.2,15.0,17.4,15.4,15.4
Zlin,Czech Republic,21.3,21.7,16.5,13.0,14.7,15.7,15.3
Znojmo,Czech Republic,17.4,19.7,14.2,11.9,11.8,12.2,12.2
Kohtla-Jaerve,Estonia,4.1,8.3,10.4,4.3,5.4,4.6,4.6
Narva,Estonia,4.3,6.1,5.2,4.4,5.3,4.8,4.8
Palmse,Estonia,4.0,8.0,6.3,6.8,5.6,6.5,6.4
Tallinn,Estonia,4.9,7.1,5.5,6.2,5.9,4.8,4.8
Vilsandi,Estonia,3.4,6.0,5.7,5.1,4.1,4.0,4.0
Voore,Estonia,3.8,7.1,5.0,4.6,4.9,3.6,3.6
Addis Ababa,Ethiopia,26.9,27.1,20.1,14.7,23.9,31.3,31.2
Espoo,Finland,5.2,6.6,5.8,5.2,5.3,4.7,4.7
Helsinki,Finland,5.4,7.2,6.0,5.2,5.9,5.5,5.5
Kuopio,Finland,3.1,3.9,4.3,4.3,4.8,4.5,4.4
Lansi-Turunmaa,Finland,4.1,5.8,5.7,5.5,4.9,3.9,4.0
Lappeenranta,Finland,6.0,6.8,5.2,4.9,5.4,4.9,4.9
Oulu,Finland,4.8,5.9,5.3,4.9,5.3,4.8,4.8
Tampere,Finland,3.9,5.7,4.8,4.5,5.0,4.5,4.5
Vantaa,Finland,6.0,7.3,6.5,5.8,6.3,5.5,5.5
Virolahti,Finland,4.4,6.5,5.0,5.1,5.4,4.6,4.6
Angouleme,France,8.9,8.6,9.2,8.7,9.1,8.8,8.5
Annecy,France,13.5,12.1,9.5,9.9,10.1,11.5,11.3
Auxerre,France,10.2,8.1,8.1,7.2,7.6,8.0,7.6
Avignon,France,12.7,11.8,11.0,10.3,10.5,13.0,12.0
Baume-les-Dames,France,11.0,10.4,9.8,9.6,9.0,9.5,9.6
Besancon,France,11.7,12.0,9.1,8.6,9.0,8.8,8.8
Bethune,France,13.4,13.9,11.4,10.3,11.6,12.4,11.7
Biarritz,France,7.7,9.1,7.2,7.4,8.4,9.2,8.8
Billere,France,9.1,7.0,7.6,6.8,8.7,9.6,9.6
Bobigny,France,11.2,11.2,10.0,10.6,11.3,10.4,10.4
Campagne-les-Boulonnais,France,11.3,12.8,9.9,9.1,10.8,10.4,9.9
Chalon-sur-Saone,France,10.6,11.1,10.1,8.7,9.1,9.9,9.8
Dax,France,9.5,8.9,9.2,10.4,9.9,10.2,10.1
Dijon,France,10.1,8.6,7.7,7.6,7.8,8.1,8.0
Fontainebleau,France,7.5,7.7,7.4,6.4,6.5,7.5,7.5
Forbach,France,11.5,12.2,11.6,9.1,9.3,8.6,8.3
Gap,France,11.7,11.7,10.7,9.8,10.0,11.9,11.5
Gardanne,France,12.2,12.1,11.2,11.3,12.2,14.1,13.3
Gennevilliers,France,12.7,13.0,11.9,9.0,11.1,10.8,10.8
Gonesse,France,12.0,12.4,11.1,9.5,11.1,10.8,10.7
Jonville-en-Woëvre,France,10.5,11.2,9.6,9.5,8.9,8.4,8.2
Joue-Les-Tours,France,12.2,10.3,10.4,9.1,8.9,8.4,8.3
La Chataigneraie,France,9.2,8.6,8.0,6.8,8.2,6.7,6.7
La Mulatiere,France,15.1,14.1,12.8,14.6,12.5,12.5,12.1
La Rochelle,France,8.0,9.2,9.1,7.9,8.8,9.0,8.9
Les Mazures,France,6.6,7.3,6.7,5.9,6.3,7.6,7.4
Limoges,France,8.7,8.4,7.2,7.6,9.1,8.1,7.8
Lons-le-Saunier,France,10.6,10.1,6.8,6.6,7.1,7.5,7.6
Lunéville,France,12.1,12.2,10.5,10.2,10.5,10.8,10.6
Lyon,France,15.0,11.7,11.4,11.7,11.7,11.6,11.3
Marmande,France,9.0,8.9,7.8,8.4,9.7,8.6,8.3
Marseille,France,14.6,12.4,10.7,9.6,10.1,10.7,10.55
Melun,France,12.9,14.1,13.6,10.8,10.9,11.8,12.0
Mere,France,7.1,7.6,6.0,6.6,6.8,6.3,6.1
Metz,France,10.4,12.5,10.5,9.1,9.6,10.9,10.5
Mont-de-Marsan,France,9.4,9.3,8.0,7.9,9.1,9.5,9.3
Montargis,France,9.8,9.1,8.6,7.6,9.9,9.4,9.2
Montbeliard,France,11.1,11.3,10.9,10.2,10.0,9.0,9.3
Mulhouse,France,14.2,13.0,11.7,12.0,11.6,10.7,10.4
Nancy,France,10.8,10.9,9.4,9.5,10.5,11.4,10.9
Nice,France,13.9,12.5,11.1,9.2,9.5,10.2,10.2
Paray le Fresil,France,7.7,7.4,6.8,6.4,6.9,7.0,7.0
Paris,France,15.4,15.6,14.7,12.2,13.7,12.7,12.7
Passy,France,17.1,11.1,10.0,10.9,10.8,10.3,10.3
Poitiers,France,11.1,9.9,9.6,8.2,9.7,9.0,8.8
Rambouillet,France,7.9,11.1,8.4,7.8,9.5,9.1,9.2
Reims,France,13.3,13.1,11.2,10.0,10.8,10.9,10.5
Saint-Chamond,France,11.0,9.4,8.1,8.9,9.1,9.4,9.3
Saint-Denis,France,13.1,13.3,11.75,10.85,11.75,10.25,10.3
Saint-Dizier,France,11.2,12.0,8.9,8.5,9.2,8.6,8.2
Saint-Germain-sur-Rhone,France,9.5,9.3,8.1,7.9,8.9,9.7,9.8
Saint-Jean-de-Braye,France,11.9,10.7,9.9,8.9,10.4,10.1,9.9
Saint-Michel-l'Observatoire,France,8.4,6.2,6.6,6.1,6.6,6.4,6.7
Saint-Nazaire,France,9.6,9.2,8.6,8.7,9.1,8.7,8.7
Saint-Paul,France,5.5,5.5,6.1,5.3,5.1,5.2,5.3
Saint-Quentin,France,13.4,14.3,12.2,11.1,12.6,11.6,11.1
Strasbourg,France,15.9,14.4,14.0,10.6,10.9,11.7,11.7
Thionville,France,12.2,10.6,8.6,7.3,7.0,8.2,8.1
Toulon,France,12.4,11.9,11.8,9.1,8.5,9.3,9.2
Valenciennes,France,15.1,15.3,11.3,10.0,12.0,13.9,13.5
Vaulx-en-Velin,France,11.4,10.8,10.6,10.7,10.4,10.4,9.9
Verneuil-Les-Bois,France,7.4,7.1,7.2,6.4,7.3,7.4,7.3
Vitry-Sur-Seine,France,11.8,13.4,10.9,10.1,10.7,10.5,10.5
Épernay,France,9.6,10.5,9.3,8.2,8.9,8.4,8.0
Andechs,Germany,8.9,10.9,8.0,7.2,7.2,7.3,7.1
Ansbach,Germany,13.4,13.1,11.1,10.9,10.7,11.3,11.3
Augsburg,Germany,11.8,13.2,10.7,9.8,9.9,10.4,10.4
Bad Belzig,Germany,11.1,11.6,10.0,8.6,8.6,7.7,7.6
Bamberg,Germany,12.5,12.7,10.2,10.3,10.4,9.9,9.9
Belau,Germany,9.4,9.3,10.0,8.2,7.9,8.3,8.2
Berlin,Germany,8.5,11.7,9.7,11.8,12.5,12.6,12.5
Bernau bei Berlin,Germany,15.9,16.4,13.2,10.9,12.5,11.1,11.1
Blankenfelde-Mahlow,Germany,17.4,16.8,12.3,10.3,12.1,10.0,10.2
Braunschweig,Germany,12.7,12.5,10.3,7.9,9.2,9.8,9.7
Bremen,Germany,11.7,13.0,11.0,9.5,9.8,9.9,9.8
Bremerhaven,Germany,11.5,12.4,11.4,9.7,9.9,10.4,10.3
Buckow,Germany,12.9,13.7,11.6,9.8,10.9,8.9,8.9
Burghausen,Germany,12.9,14.3,11.2,10.3,10.1,9.9,10.0
Bösel,Germany,12.2,13.6,11.7,8.8,9.1,9.2,9.2
Cottbus,Germany,15.7,16.1,11.6,10.4,11.8,11.0,10.9
Datteln,Germany,14.4,14.4,10.8,8.6,10.6,12.3,12.2
Dortmund,Germany,14.2,14.5,11.8,10.6,11.3,12.1,11.8
Dresden,Germany,13.3,14.9,11.5,10.3,10.8,13.2,13.2
Duisburg,Germany,12.5,13.2,12.3,11.8,13.2,12.5,12.4
Düsseldorf,Germany,12.3,12.5,12.9,10.7,11.4,12.0,11.9
Eberswalde,Germany,14.8,16.0,11.4,10.4,10.8,12.3,12.2
Eggebek,Germany,9.2,12.3,10.8,8.2,8.6,8.0,7.9
Eisenhuttenstadt,Germany,14.7,16.7,11.8,10.4,10.3,10.0,9.9
Elsterwerda,Germany,16.1,16.2,11.7,10.5,11.3,8.8,8.7
Erfurt,Germany,10.4,12.0,9.2,9.0,10.7,9.9,9.8
Essen,Germany,13.1,13.9,11.7,9.6,10.8,11.2,11.2
Flensburg,Germany,10.4,12.2,10.9,9.1,9.8,9.0,9.0
Frankfurt/Oder,Germany,16.0,16.8,12.3,10.7,12.2,11.0,10.9
Freiburg,Germany,10.5,10.6,9.4,8.1,7.5,9.0,8.9
Fulda,Germany,14.0,14.4,12.2,10.5,10.4,8.5,8.5
Gelsenkirchen,Germany,16.5,16.6,14.0,11.9,13.0,13.8,13.8
Giessen,Germany,13.6,14.1,13.7,12.7,12.9,12.9,12.8
Gottingen,Germany,11.2,12.2,10.0,7.4,8.2,8.0,8.0
Greiz,Germany,11.9,13.1,9.8,9.7,10.6,9.8,9.7
Gulzow,Germany,11.5,12.0,9.5,8.5,9.3,8.2,8.3
Gustrow,Germany,12.0,11.6,10.2,8.9,10.4,9.3,9.3
Halberstadt,Germany,11.1,12.9,9.9,8.1,8.1,8.8,8.8
Hamburg,Germany,12.4,12.3,10.8,9.1,10.0,10.7,10.7
Hannover,Germany,12.0,12.8,10.9,8.2,9.5,10.0,10.0
Heilbronn,Germany,13.4,13.1,12.2,8.9,9.3,10.1,10.1
Heppenheim (Bergstrasse),Germany,13.5,13.8,11.3,9.3,9.3,11.2,11.0
Itzehoe,Germany,11.1,12.1,10.3,9.1,10.1,9.1,8.9
Kaiserslautern,Germany,11.9,12.5,10.2,8.9,7.9,9.5,9.4
Karlsruhe,Germany,11.6,11.4,11.2,9.1,9.6,9.6,9.5
Kehl,Germany,12.3,11.5,11.4,9.9,10.3,10.9,10.8
Kelheim,Germany,13.5,13.8,11.0,9.8,10.1,10.2,10.4
Kiel,Germany,12.5,13.3,12.2,9.9,9.8,9.4,9.4
Koblenz,Germany,11.6,11.8,11.0,8.7,9.8,8.9,8.3
Krefeld,Germany,14.1,16.5,13.9,11.1,12.9,12.4,11.9
Köln,Germany,14.8,15.3,12.8,9.4,9.9,10.5,10.3
Leipzig,Germany,12.8,14.7,11.6,9.6,10.1,10.6,10.5
Leizen,Germany,11.0,11.9,10.7,8.7,9.4,8.6,8.6
Lindau (Bodensee),Germany,11.2,12.4,10.2,9.8,9.3,9.9,9.8
Luchow,Germany,11.3,11.6,10.1,7.7,8.1,8.5,8.5
Luder,Germany,8.7,10.1,8.3,7.3,7.7,7.1,7.1
Ludwigshafen am Rhein,Germany,13.1,13.3,11.5,10.1,10.8,11.4,11.3
Lübeck,Germany,10.6,11.4,9.7,10.3,13.3,10.9,10.8
Mainz,Germany,12.5,12.6,11.5,10.4,10.7,10.1,10.1
Mannheim,Germany,13.8,12.7,12.3,10.3,10.7,11.3,11.3
Merzalben,Germany,6.3,7.4,5.4,4.7,5.1,6.2,6.2
Munich,Germany,13.8,13.6,10.6,9.8,10.3,10.7,10.7
Mönchengladbach,Germany,13.8,13.8,10.2,9.5,10.0,12.1,11.8
Nauen,Germany,14.2,15.2,11.5,10.1,11.2,10.7,10.6
Neu-Ulm,Germany,12.5,13.2,10.6,10.0,10.1,10.5,10.4
Neuwied,Germany,10.6,11.4,9.6,8.6,9.0,9.6,9.5
Niederzier,Germany,13.8,15.4,13.1,13.7,12.6,12.7,12.1
Oberaudorf,Germany,12.7,13.6,11.5,10.0,10.0,10.1,10.1
Oldenburg,Germany,15.0,13.9,12.0,8.6,9.1,9.5,9.5
